short_name,lon,name,eightd_has_key_dispenser,capacity,station_type,lat,electric_bike_surcharge_waiver,has_kiosk,eightd_station_services,externalId,stationId,legacyId,region_code,rack_model,address,dockless_bikes_parking_zone_capacity,client_station_id
KA1503000046,-87.5914159893,Dorchester Ave & 63rd St,false,11,classic,41.7804056457,false,true,[],a3ad9ad9-a135-11e9-9cda-0a87ae2ba916,428,428,undefined,undefined,undefined,undefined,undefined
KA1503000031,-87.60563486,Cottage Grove Ave & 67th St,false,11,classic,41.77372095205,false,true,[],a3ada002-a135-11e9-9cda-0a87ae2ba916,429,429,undefined,undefined,undefined,undefined,undefined
KA1503000053,-87.6159428567,MLK Jr Dr & 63rd St,false,11,classic,41.78008063659,false,true,[],a3ada52f-a135-11e9-9cda-0a87ae2ba916,430,430,undefined,undefined,undefined,undefined,undefined
KA1503000033,-87.6133078304,Eberhart Ave & 61st St,false,11,classic,41.78414169317,false,true,[],a3adaa52-a135-11e9-9cda-0a87ae2ba916,431,431,undefined,undefined,undefined,undefined,undefined

KA1504000082,-87.7048707493,Kedzie Ave & Harrison St,false,11,classic,41.87359967462,false,true,[],a3adb48a-a135-11e9-9cda-0a87ae2ba916,433,433,undefined,undefined,undefined,undefined,undefined

15682,-87.7064961757,Kedzie Ave & Roosevelt Rd,false,11,classic,41.86649278172,false,true,[],a3adbedf-a135-11e9-9cda-0a87ae2ba916,435,435,undefined,undefined,undefined,undefined,undefined
KA1504000102,-87.694521,Fairfield Ave & Roosevelt Rd,false,11,classic,41.866624,false,true,[],a3adc3f6-a135-11e9-9cda-0a87ae2ba916,436,436,undefined,undefined,undefined,undefined,undefined


15686,-87.7050730318,Kedzie Ave & 21st St,false,11,classic,41.85353363213,false,true,[],a3add365-a135-11e9-9cda-0a87ae2ba916,439,439,undefined,undefined,undefined,undefined,undefined
15687,-87.715068,Central Park Ave & 24th St,false,11,classic,41.8481,false,true,[],a3add889-a135-11e9-9cda-0a87ae2ba916,440,440,undefined,undefined,undefined,undefined,undefined
KA1504000086,-87.7054137458,Kedzie Ave & 24th St,false,11,classic,41.84819094491,false,true,[],a3addda0-a135-11e9-9cda-0a87ae2ba916,441,441,undefined,undefined,undefined,undefined,undefined
15689,-87.6951398068,California Ave & 23rd Pl,false,11,classic,41.84910969176,false,true,[],a3ade2c3-a135-11e9-9cda-0a87ae2ba916,442,442,undefined,undefined,undefined,undefined,undefined
KA1504000110,-87.71592199802399,Millard Ave & 26th St,false,7,classic,41.84453112462163,false,true,[],a3ade7de-a135-11e9-9cda-0a87ae2ba916,443,443,undefined,undefined,undefined,undefined,undefined
15691,-87.7020130128,Albany Ave & 26th St,false,11,classic,41.84447501366,false,true,[],a3aded13-a135-11e9-9cda-0a87ae2ba916,444,444,undefined,undefined,undefined,undefined,undefined
15692,-87.6952959227,California Ave & 26th St,false,11,classic,41.84404003127,false,true,[],a3ae687f-a135-11e9-9cda-0a87ae2ba916,445,445,undefined,undefined,undefined,undefined,undefined
KA1504000168,-87.6851314409,Western & 28th - Velasquez Institute Vaccination Site,false,11,classic,41.84151770807,false,true,[],a3ae6e48-a135-11e9-9cda-0a87ae2ba916,446,446,undefined,undefined,undefined,undefined,undefined

RP-002,-87.6806661451,Warren Park East,false,11,classic,42.00454962194,false,true,[],a3ae78ab-a135-11e9-9cda-0a87ae2ba916,448,448,undefined,undefined,undefined,undefined,undefined

RP-001,-87.688829,Warren Park West,false,11,classic,42.001785,false,true,[],a3ae82e0-a135-11e9-9cda-0a87ae2ba916,450,450,undefined,undefined,undefined,undefined,undefined

KA1504000129,-87.689438282,Western Ave & Granville Ave,false,11,classic,41.99416136902,false,true,[],a3ae8d13-a135-11e9-9cda-0a87ae2ba916,452,452,undefined,undefined,undefined,undefined,undefined


KA1504000130,-87.6933696402,Maplewood Ave & Peterson Ave,false,11,classic,41.99023602867,false,true,[],a3af1cec-a135-11e9-9cda-0a87ae2ba916,455,455,undefined,undefined,undefined,undefined,undefined
KA1504000155,-87.683593,2112 W Peterson Ave,false,11,classic,41.991178,false,true,[],a3af2216-a135-11e9-9cda-0a87ae2ba916,456,456,undefined,undefined,undefined,undefined,undefined









RP-006,-87.6829126443,Ridge Blvd & Touhy Ave,false,11,classic,42.01213227742,false,true,[],a3af5804-a135-11e9-9cda-0a87ae2ba916,466,466,undefined,undefined,undefined,undefined,undefined

15585,-87.6964225611,Budlong Woods Library,false,11,classic,41.98366470886,false,true,[],a3af624c-a135-11e9-9cda-0a87ae2ba916,468,468,undefined,undefined,undefined,undefined,undefined

KA1504000128,-87.709261,Kedzie Ave & Foster Ave,false,11,classic,41.975672,false,true,[],a3af71a9-a135-11e9-9cda-0a87ae2ba916,470,470,undefined,undefined,undefined,undefined,undefined





KA1504000127,-87.700825,Manor Ave & Leland Ave,false,11,classic,41.965875,false,true,[],a3af9064-a135-11e9-9cda-0a87ae2ba916,477,477,undefined,undefined,undefined,undefined,undefined


15621,-87.705866,Albany Ave & Montrose Ave,false,11,classic,41.961041,false,true,[],a3af9f99-a135-11e9-9cda-0a87ae2ba916,480,480,undefined,undefined,undefined,undefined,undefined







